Header	Sequence Length
M_artiellia_AF248477	1797
M_artiellia_AF442192	1597
M_cf_chitwoodi_TSH-2004_AY757842	635
M_chitwoodi_AY757838	636
M_hapla_AY757858	636
M_chitwoodi_AY757839	636
M_enterolobii_AY446967	637
M_cf_arenaria_TSH-2004_AY757832	637
M_cf_incognita_TSH-2004_AY757870	637
M_graminis_AY919165	637
M_chitwoodi_AY919157	636
M_hapla_AY919173	636
M_cf_graminis_TSH-2004_AY757848	636
M_hapla_AY757864	636
M_hapla_AY919170	636
M_chitwoodi_DQ080579	636
M_enterolobii_AY446968	637
M_cf_arenaria_TSH-2004_AY757833	637
M_javanica_AY757871	637
M_graminis_AY919166	637
M_enterolobii_AY446965	637
M_cf_incognita_TSH-2004_AY757868	637
M_enterolobii_AY919182	637
M_cf_graminicola_TSH-2004_AY757844	639
M_hapla_AY757853	636
M_partityla_AY757874	635
M_partityla_AY919183	635
M_cf_graminis_TSH-2005_AY919167	636
M_chitwoodi_AY757837	636
M_hapla_AY757857	636
M_cf_chitwoodi_TSH-2005_AY919159	635
M_cf_graminicola_TSH-2005_AY919163	639
M_chitwoodi_AY757835	636
M_graminis_AY757845	637
M_cf_graminis_TSH-2004_AY757847	636
M_enterolobii_AY757873	637
M_cf_incognita_TSH-2005_AY919179	637
M_cf_fallax_TSH-2004_AY757843	636
M_enterolobii_AY446966	637
M_cf_incognita_TSH-2004_AY757869	637
M_cf_graminis_TSH-2005_AY919168	636
M_hapla_AY919176	636
M_haplanaria_AY757867	637
M_cf_arenaria_TSH-2004_AY757834	637
M_javanica_AY757872	637
M_javanica_AY919181	637
M_haplanaria_AY919178	637
M_graminis_AY757846	637
M_javanica_AY919180	637
M_arenaria_DQ080578	637
M_cf_graminicola_TSH-2005_AY919160	639
M_cf_graminicola_TSH-2005_AY919164	639
M_cf_graminicola_TSH-2005_AY919162	639
M_cf_graminicola_TSH-2005_AY919161	639
M_dunensis_EF612713	830
M_microtyla_AF442198	1577
M_duytsi_AF442197	1580
M_hapla_AF442194	1578
M_exigua_AF442200	1581
M_maritima_AF442199	1581
M_arenaria_AF535867	1576
M_arabicida_AY942625	1633
M_chitwoodi_AF442195	1578
M_incognita_AY942624	1656
M_exigua_AY942627	1620
M_javanica_AF442193	1576
M_hapla_AY942628	1660
M_arenaria_AY942623	1614
M_floridensis_AY942621	1655
M_enterolobii_AY942629	1656
M_paranaensis_AY942622	1642
M_hapla_AY593892	1686
M_hapla_AY593893	1689
M_javanica_AY942626	1646
M_spartinae_EF189177	1664
M_ethiopica_AY942630	1649
M_morocciensis_AY942632	1650
M_minor_EU669937	1692
M_oryzae_AY942631	1653
M_chitwoodi_AY593889	1693
M_fallax_AY593895	1691
M_naasi_AY593900	1693
M_javanica_EU669938	1685
M_hapla_AY593898	1689
M_incognita_AY284621	1704
M_chitwoodi_AY593884	1691
M_ardenensis_AY593894	1688
M_hapla_EU669943	1687
M_minor_AY593899	1693
M_maritima_EU669944	1690
M_hapla_EU669942	1685
M_incognita_EU669939	1686
M_chitwoodi_AY593885	1692
M_hapla_EU669941	1685
M_maritima_EU669945	1689
M_naasi_AY593901	1693
M_fallax_EU669936	1691
M_ardenensis_EU669946	1688
M_chitwoodi_AY593887	1692
M_chitwoodi_EU669933	1692
M_fallax_EU669935	1689
M_chitwoodi_AY593883	1693
M_chitwoodi_EU669934	1693
M_naasi_AY593902	1692
M_chitwoodi_AY593888	1695
M_chitwoodi_AY593886	1692
M_chitwoodi_EU669932	1692
M_arenaria_AY268118	1755
M_incognita_AY268120	1754
M_hapla_AY268119	1758
M_javanica_AY268121	1756
M_arenaria_U42342	1788
M_silvestris_EU570215	772
M_hispanica_EU443609	779
